"Category","B cell cycling","CD8-positive, alpha-beta T cell","IgA plasma cell","IgG plasma cell","T follicular helper cell","T-helper 1 cell","T-helper 17 cell","activated CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","conventional type 1 dendritic cell","conventional type 2 dendritic cell","cycling dendritic cell","cycling gamma-delta T cell","follicular B cell","gamma-delta T cell","innate lymphoid cell","macrophage","mast cell","memory B cell","monocyte","natural killer cell","plasmacytoid dendritic cell","regulatory T cell"
"EEF1A1",4968.212,9624.959,2912.003,2686.166,11488.5035,9609.831,11484.0395,10860.121,14638.461,8006.20835,8198.73565,4301.1638,5622.784,10734.93,9381.905,10638.298,5664.2538,8051.53,10738.445,5881.7236,6712.8633,8915.612,10921.7175
"RPL32",3115.6582,5412.7197,1431.81,1259.6046,7719.52475,5575.1731,6034.53585,6626.173,8942.495,4407.25585,4491.5747,2637.4739,2996.5752,6951.0273,4446.76515,4676.539,3093.14825,5222.9062,6710.281,3570.8213,3462.604,3753.8645,6619.25685
"RPS12",2549.3135,6648.9365,1414.1871,1310.4598,7530.5134,5985.2,6993.6035,7255.4766,10185.4645,5295.68385,4929.83535,3195.963,3164.0803,6364.022,5305.63745,4432.133,3429.3314,3537.7358,7262.9557,3504.673,3272.377,4184.1006,6729.4121
"RPL30",1920.6812,4180.92,803.0516,718.1156,5143.09935,3810.0824,3722.49215,4341.865,7076.7605,3153.63845,2744.1174,1587.15385,1958.7163,4807.6924,3121.55235,3228.41,1931.99055,2747.253,5229.77275,2247.968,2474.0227,2384.408,5108.1313
"CPVL",,,,,,,,,,1318.0262,369.55418,319.976175,,,,,209.35843,,,82.80202,,,
"SNX3",155.35187,,56.889294,62.08674,,,,,,1745.16095,391.779755,362.462,124.21588,264.83054,,,253.16457,209.81955,225.93766,227.01477,,167.30801,
"NAPSB",,,,,,,,,,871.783875,380.50376,128.226195,,,,,,,165.289275,,,160.7071,
"GPX1",98.039215,,50.347393,55.645206,,,,,,801.90271,1134.3266,1696.13395,,,,,1540.3527,345.66193,143.5957,1443.0015,,1090.2153,
"JAML",,,,,,,140.194085,,,57.281307,914.77853,407.13528,,,,183.41893,178.142375,,,,,333.94556,
"ENSG00000235915",,,,,,,,,,29.0402535,615.32785,374.049615,,,,55.212013,158.03332,,,546.2241,,,
"MS4A6A",,,,,,,,,,219.80455,636.5059,1104.41515,,,,,832.911725,,,321.54343,,,
"TUBA1B",588.2353,,53.2907,72.58474,93.9530925,209.62182,177.68303,195.0839,,306.394565,377.07187,2823.76965,2319.737,246.00246,138.57508,227.16946,344.733475,325.04468,187.67012,,,257.95358,152.057205
"STMN1",357.87967,,,,,,,,,,,1097.9784,2051.4224,,,,,253.4212,,,,,
"HMGB2",598.95605,212.53983,,,149.99934,215.84286,177.55688,195.88638,,,65.666248,734.69815,1506.7048,,265.71022,,82.977835,,,232.66635,233.15459,,165.741985
"HMGB1",1310.2164,469.48358,103.50359,122.75211,405.36516,447.277255,389.39186,446.22934,386.286835,358.373365,376.653235,1576.7935,2174.8442,603.31824,521.72198,542.5936,354.31824,402.9821,523.05818,241.51672,612.18243,573.148,436.7766
"PTMA",3422.704,3023.8887,739.9933,816.91003,3399.4978,3225.5951,3135.7886,3439.1533,2935.6416,3331.9132,3161.8638,5208.61815,7932.6924,3503.3938,3911.09805,3851.4446,2911.36255,5601.4937,3300.8253,2625.6116,2909.0908,3436.9397,3405.07495
"MKI67",70.69636,,,,,,,,,,,257.31196,428.08215,,,,,,,,,,
"ENSG00000278801",,,,,,,,,,,,,,797.23627,,,,,,,,,
"CD79A",852.5755,,295.81424,444.27164,,,,,,,,,,1716.3699,,,,,1072.01585,,,,
"IGHM",,,,,,,,,,,,,,3051.8823,,,,,63.7945935,,,73.60519,
"RPL18A",3422.704,3874.3005,1800.9169,1451.2628,4313.10275,3558.1974,4105.7498,3981.18,5726.6543,4695.11695,3856.1393,2412.99385,2583.2727,7943.713,3417.60665,2524.4026,2635.27535,3484.3203,5333.8076,3052.492,2945.5083,2799.0876,4364.16385
"CD7",,449.4382,,,237.700165,233.75409,257.86487,164.82611,429.879525,,,,1655.6292,,1984.5208,341.64676,,,,,1506.0242,,318.42084
"KLRC2",,,,,,,,,,,,,122.23444,,588.701485,,,,,,,,
"TMSB4X",3884.0752,9934.715,1289.9491,1439.1144,9967.09,11780.4835,13711.21425,10445.408,6969.8965,39089.9625,23876.638,27870.3175,13615.295,9134.615,18260.6045,5249.3438,12546.3845,7531.667,7869.5675,13176.967,9953.162,10173.362,9067.5385
"AREG",,,,,277.12359,,,,,,82.7089005,,279.48575,,184.595715,1972.3865,,499.002,,281.88867,1569.0377,298.86432,
"ID2",,364.56436,,,,731.35162,791.1236,203.33469,,1252.80395,186.01987,109.76625,354.77768,,666.111715,894.7212,138.523445,,,,659.1958,131.40604,
"NFKBIA",242.21873,453.7205,235.21664,222.13582,402.862455,1203.5868,1581.83175,534.2832,257.76518,365.86949,233.72116,308.95431,490.35632,,357.66507,1991.1504,651.332725,1679.5432,153.421295,2289.3772,2433.83,272.55383,431.966185
"CST3",,,,,,,,,,13085.9495,5833.6748,6973.95125,,,,,5743.43795,174.61148,,1886.7924,,701.3606,
"ENSG00000235588",,,,,,,,,,451.21881,437.19815,1117.0056,,,,,771.01738,,,892.8571,,,
