"","Species","cell_type1","Source","age","batch"
"53d_B10_ESC_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B11_ESC_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B12_ESC_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B2_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B3_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B4_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B5_ESC_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B6_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B7_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B8_ESC_hOrg_reg1","Homo sapiens","mesenchyme","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_B9_ESC_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C1_ESC_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C10_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C11_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C12_ESC_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C2_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C3_ESC_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C4_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C5_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C6_ESC_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C7_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C8_ESC_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_C9_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D1_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D10_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D11_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D12_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D2_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D3_ESC_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D4_ESC_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D5_ESC_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D6_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D7_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D8_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_D9_ESC_hOrg_reg1","Homo sapiens","mesenchyme","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E1_ESC_hOrg_reg1","Homo sapiens","mesenchyme","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E10_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E11_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E12_ESC_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E2_ESC_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E3_ESC_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E4_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E5_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E6_ESC_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E7_ESC_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E8_ESC_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_E9_ESC_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F1_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F10_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F11_hOrg_reg1","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F12_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F2_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F3_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F4_hOrg_reg1","Homo sapiens","mesenchyme","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F5_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F6_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F7_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F8_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_F9_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G1_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G10_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G11_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G12_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G2_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G3_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G4_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G5_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G6_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G7_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G8_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_G9_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H1_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H10_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H11_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H12_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H2_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H3_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H4_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H5_hOrg_reg2","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H6_hOrg_reg2","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H7_hOrg_reg1","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H8_hOrg_reg2","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"53d_ESC_H9_hOrg_reg1","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","53 days","ESC H9"
"58d_A1_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_A10_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_A11_hOrg_iPSC_reg4","Homo sapiens","ventral progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_A4_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_A5_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_A6_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_A8_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B1_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B10_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B10_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B11_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B12_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B12_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B2_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B2_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B3_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B4_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B5_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B8_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B8_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_B9_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C1_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C11_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C11_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C12_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C12_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C4_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C4_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C5_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C6_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C7_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C7_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C8_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_C8_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D10_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D11_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D12_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D4_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D7_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D8_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_D9_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E10_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E2_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E2_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E3_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E3_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E4_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E5_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E5_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E6_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E7_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E8_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E9_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_E9_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F1_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F10_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F10_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F12_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F3_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F5_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F7_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_F8_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G10_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G12_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G12_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G3_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G4_hOrg_iPSC_reg3","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G4_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G7_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G8_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G9_hOrg_iPSC_reg3","Homo sapiens","dosal cortex neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_G9_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H10_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H11_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H11_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H12_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H3_hOrg_iPSC_reg4","Homo sapiens","neuron","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H9_hOrg_iPSC_reg3","Homo sapiens","dosal cortex progenitor","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"58d_H9_hOrg_iPSC_reg4","Homo sapiens","Unknown","Microdissected cortical-like ventricle from cerebral organoid","58 days","iPSC 409B2"
"A1_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A1_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A1_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A1_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A10_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A10_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A10_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A10_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A11_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A11_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A11_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A12_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A12_hOrg65d","Homo sapiens","neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A2_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A2_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A2_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A2_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A3_hOrg35d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A3_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A3_hOrg41d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A4_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A4_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A4_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A4_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A5_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A5_hOrg41d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A5_hOrg65d","Homo sapiens","dosal cortex neuron","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A6_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A6_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A6_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A6_hOrg65d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A7_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A7_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A7_hOrg41d","Homo sapiens","dosal cortex progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A7_hOrg65d","Homo sapiens","mesenchyme","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A8_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A8_hOrg37d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
"A8_hOrg41d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","41 days","iPSC 409B2"
"A8_hOrg65d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","65 days","iPSC 409B2"
"A9_hOrg35d","Homo sapiens","ventral progenitor","Dissociated whole cerebral organoid","35 days","iPSC 409B2"
"A9_hOrg37d","Homo sapiens","Unknown","Dissociated whole cerebral organoid","37 days","iPSC 409B2"
